date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:54:34	713/713	U-----	200	untouched ('OK')	text/plain	date:Wed,%2027%20Jun%202007%2022:37:44%20GMT	http://www.storiesinfabric.com/robots.txt		(from )
21:54:35	3092/3092	U-----	200	untouched ('OK')	text/html	etag:%22e6e6254262df17832ca66f116d2e07a9%22	http://www.storiesinfabric.com/	C:/My%20Web%20Sites/storiesinfabric/www.storiesinfabric.com/index.html	(from )
21:54:35	5430/5430	U-----	200	untouched ('')	image/vnd.microsoft.icon	date:Mon,%2017%20Sep%202007%2008:41:57%20GMT	http://www.storiesinfabric.com/misc/favicon.ico	C:/My%20Web%20Sites/storiesinfabric/www.storiesinfabric.com/misc/favicon.ico	(from http://www.storiesinfabric.com/)
21:54:35	17439/17439	U-----	200	untouched ('OK')	text/css	date:Sun,%2029%20Mar%202015%2014:49:56%20GMT	http://www.storiesinfabric.com/sites/default/files/css/2d2dbd407b9c556f298536785aa7750e.css	C:/My%20Web%20Sites/storiesinfabric/www.storiesinfabric.com/sites/default/files/css/2d2dbd407b9c556f298536785aa7750e.css	(from http://www.storiesinfabric.com/)
21:54:36	40736/40736	U-----	200	untouched ('')	text/javascript	date:Sat,%2028%20Mar%202015%2023:31:06%20GMT	http://www.storiesinfabric.com/sites/default/files/js/d9a9e171a4a13a341a0692ec71fbcc4b.js	C:/My%20Web%20Sites/storiesinfabric/www.storiesinfabric.com/sites/default/files/js/d9a9e171a4a13a341a0692ec71fbcc4b.js	(from http://www.storiesinfabric.com/)
21:54:36	3092/3092	U-----	200	untouched ('OK')	text/html	etag:%2219d9b5efabfcde59e2c3998930ae12b7%22	http://www.storiesinfabric.com/content/home	C:/My%20Web%20Sites/storiesinfabric/www.storiesinfabric.com/content/home.html	(from http://www.storiesinfabric.com/)
21:54:36	7910/7910	U-----	200	untouched ('OK')	text/html	etag:%225d239b8e877907c02ec073ef4bf05c86%22	http://www.storiesinfabric.com/ArtGallery	C:/My%20Web%20Sites/storiesinfabric/www.storiesinfabric.com/ArtGallery.html	(from http://www.storiesinfabric.com/)
21:54:37	7867/7867	U-----	200	untouched ('OK')	text/html	etag:%2269e57b2994ca3e919d364a677b72cd36%22	http://www.storiesinfabric.com/content/workshops	C:/My%20Web%20Sites/storiesinfabric/www.storiesinfabric.com/content/workshops.html	(from http://www.storiesinfabric.com/)
21:54:37	3727/3727	U-----	200	untouched ('OK')	text/html	etag:%22d3388051a80be0729042a3f5d8c4e5e6%22	http://www.storiesinfabric.com/content/artist	C:/My%20Web%20Sites/storiesinfabric/www.storiesinfabric.com/content/artist.html	(from http://www.storiesinfabric.com/)
21:54:37	3452/3452	U-----	200	untouched ('OK')	text/html	etag:%2276eb75dde5664969aee21f3ae891cda0%22	http://www.storiesinfabric.com/contact	C:/My%20Web%20Sites/storiesinfabric/www.storiesinfabric.com/contact.html	(from http://www.storiesinfabric.com/)
21:54:38	74737/74737	U-----	200	untouched ('')	image/jpeg	date:Mon,%2008%20Dec%202008%2022:41:18%20GMT	http://storiesinfabric.com/sites/default/files/ToughSledding.jpg	C:/My%20Web%20Sites/storiesinfabric/storiesinfabric.com/sites/default/files/ToughSledding.jpg	(from http://www.storiesinfabric.com/)
21:54:38	979/979	U-----	200	untouched ('')	image/png	date:Wed,%2014%20Nov%202007%2009:49:30%20GMT	http://www.storiesinfabric.com/misc/tree.png	C:/My%20Web%20Sites/storiesinfabric/www.storiesinfabric.com/misc/tree.png	(from http://www.storiesinfabric.com/sites/default/files/css/2d2dbd407b9c556f298536785aa7750e.css)
21:54:38	976/976	U-----	200	untouched ('')	image/png	date:Wed,%2014%20Nov%202007%2009:49:30%20GMT	http://www.storiesinfabric.com/misc/tree-bottom.png	C:/My%20Web%20Sites/storiesinfabric/www.storiesinfabric.com/misc/tree-bottom.png	(from http://www.storiesinfabric.com/sites/default/files/css/2d2dbd407b9c556f298536785aa7750e.css)
21:54:39	1336/1336	U-----	200	untouched ('')	image/gif	date:Wed,%2025%20May%202005%2000:14:42%20GMT	http://www.storiesinfabric.com/misc/throbber.gif	C:/My%20Web%20Sites/storiesinfabric/www.storiesinfabric.com/misc/throbber.gif	(from http://www.storiesinfabric.com/sites/default/files/css/2d2dbd407b9c556f298536785aa7750e.css)
21:54:39	106/106	U-----	200	untouched ('')	image/png	date:Sun,%2020%20Jun%202004%2020:04:27%20GMT	http://www.storiesinfabric.com/misc/menu-expanded.png	C:/My%20Web%20Sites/storiesinfabric/www.storiesinfabric.com/misc/menu-expanded.png	(from http://www.storiesinfabric.com/sites/default/files/css/2d2dbd407b9c556f298536785aa7750e.css)
21:54:39	108/108	U-----	200	untouched ('')	image/png	date:Sun,%2020%20Jun%202004%2020:04:27%20GMT	http://www.storiesinfabric.com/misc/menu-collapsed.png	C:/My%20Web%20Sites/storiesinfabric/www.storiesinfabric.com/misc/menu-collapsed.png	(from http://www.storiesinfabric.com/sites/default/files/css/2d2dbd407b9c556f298536785aa7750e.css)
21:54:40	162/162	U-----	200	untouched ('')	image/png	date:Tue,%2005%20Dec%202006%2021:03:34%20GMT	http://www.storiesinfabric.com/misc/grippie.png	C:/My%20Web%20Sites/storiesinfabric/www.storiesinfabric.com/misc/grippie.png	(from http://www.storiesinfabric.com/sites/default/files/css/2d2dbd407b9c556f298536785aa7750e.css)
21:54:40	349/349	U-----	200	untouched ('')	image/png	date:Wed,%2014%20Nov%202007%2009:49:30%20GMT	http://www.storiesinfabric.com/misc/draggable.png	C:/My%20Web%20Sites/storiesinfabric/www.storiesinfabric.com/misc/draggable.png	(from http://www.storiesinfabric.com/sites/default/files/css/2d2dbd407b9c556f298536785aa7750e.css)
21:54:40	790/790	U-----	200	untouched ('')	image/gif	date:Tue,%2021%20Feb%202006%2008:34:01%20GMT	http://www.storiesinfabric.com/misc/progress.gif	C:/My%20Web%20Sites/storiesinfabric/www.storiesinfabric.com/misc/progress.gif	(from http://www.storiesinfabric.com/sites/default/files/css/2d2dbd407b9c556f298536785aa7750e.css)
21:54:41	194/194	U-----	200	untouched ('')	image/png	date:Thu,%2009%20Feb%202006%2008:36:01%20GMT	http://www.storiesinfabric.com/misc/menu-leaf.png	C:/My%20Web%20Sites/storiesinfabric/www.storiesinfabric.com/misc/menu-leaf.png	(from http://www.storiesinfabric.com/sites/default/files/css/2d2dbd407b9c556f298536785aa7750e.css)
21:54:41	14572/14572	U-----	200	untouched ('')	image/jpeg	date:Thu,%2018%20Dec%202008%2021:23:10%20GMT	http://www.storiesinfabric.com/themes/foundation/images/main2bg.jpg	C:/My%20Web%20Sites/storiesinfabric/www.storiesinfabric.com/themes/foundation/images/main2bg.jpg	(from http://www.storiesinfabric.com/sites/default/files/css/2d2dbd407b9c556f298536785aa7750e.css)
21:54:41	16900/16900	U-----	200	untouched ('')	image/gif	date:Thu,%2018%20Dec%202008%2023:03:50%20GMT	http://www.storiesinfabric.com/themes/foundation/images/footerbg.gif	C:/My%20Web%20Sites/storiesinfabric/www.storiesinfabric.com/themes/foundation/images/footerbg.gif	(from http://www.storiesinfabric.com/sites/default/files/css/2d2dbd407b9c556f298536785aa7750e.css)
21:54:42	61257/61257	U-----	200	untouched ('')	image/jpeg	date:Wed,%2003%20Dec%202008%2005:11:47%20GMT	http://www.storiesinfabric.com/themes/foundation/images/largebg.jpg	C:/My%20Web%20Sites/storiesinfabric/www.storiesinfabric.com/themes/foundation/images/largebg.jpg	(from http://www.storiesinfabric.com/sites/default/files/css/2d2dbd407b9c556f298536785aa7750e.css)
21:54:42	70605/70605	U-----	200	untouched ('')	image/jpeg	date:Thu,%2018%20Dec%202008%2021:23:12%20GMT	http://www.storiesinfabric.com/themes/foundation/images/bodybg.jpg	C:/My%20Web%20Sites/storiesinfabric/www.storiesinfabric.com/themes/foundation/images/bodybg.jpg	(from http://www.storiesinfabric.com/sites/default/files/css/2d2dbd407b9c556f298536785aa7750e.css)
21:54:42	15027/15027	U-----	200	untouched ('')	image/jpeg	date:Wed,%2003%20Dec%202008%2001:44:10%20GMT	http://www.storiesinfabric.com/themes/foundation/images/bg.jpg	C:/My%20Web%20Sites/storiesinfabric/www.storiesinfabric.com/themes/foundation/images/bg.jpg	(from http://www.storiesinfabric.com/sites/default/files/css/2d2dbd407b9c556f298536785aa7750e.css)
21:54:43	6010/6010	U-----	200	untouched ('OK')	text/html	etag:%22b6c98d97d1995c4e3c60cfccce012714%22	http://www.storiesinfabric.com/content/color-series	C:/My%20Web%20Sites/storiesinfabric/www.storiesinfabric.com/content/color-series.html	(from http://www.storiesinfabric.com/ArtGallery)
